replica,cpu,cpu_usage,num_request,previous_tps,expected_tps,response_time,reward
1,6,0.329,48.27,24.0,48.0,23.72,-0.8204609353305199
3,7,0.1923333333333333,72.27,48.0,72.0,16.53,-1.3454350740722913
2,5,0.383,85.33,72.0,96.0,121.57,-1.2780011009866294
3,4,0.243,68.73,96.0,120.0,216.85,-1.7010740743916557
2,5,0.3665,57.27,120.0,144.0,317.41,-1.5742166184053112
2,9,0.4495,120.8,144.0,120.0,21.8,-1.0964636814182442
3,9,0.2426666666666666,96.47,120.0,96.0,18.62,-1.4382393380543177
3,9,0.1873333333333333,72.0,96.0,72.0,17.83,-1.477728719674543
3,8,0.1486666666666666,48.13,72.0,48.0,18.48,-1.443398601593322
1,8,0.194,24.33,48.0,24.0,19.54,-1.0624352547973919
2,4,0.2105,48.53,24.0,48.0,35.77,-0.9115458847830473
2,7,0.318,72.27,48.0,72.0,19.86,-1.0297083398478537
1,6,0.598,94.47,72.0,96.0,81.33,-1.0566104132364134
1,5,0.502,36.53,96.0,120.0,412.4,-1.1240913065827385
2,7,0.4659999999999999,145.6,120.0,144.0,19.37,-0.9310387980516059
1,8,0.699,122.33,144.0,120.0,34.89,-0.7629238251315571
1,5,0.499,75.87,120.0,96.0,158.35,-1.116057667875727
2,9,0.2945,72.4,96.0,72.0,21.67,-1.1894744282217524
3,9,0.1463333333333333,48.27,72.0,48.0,16.99,-1.5085953562270813
2,9,0.1075,24.13,48.0,24.0,18.4,-1.3252442771652289
1,9,0.371,48.33,24.0,48.0,19.45,-1.011823383820085
1,6,0.459,72.53,48.0,72.0,21.83,-0.7286551003839945
3,7,0.2573333333333333,96.47,72.0,96.0,18.3,-1.2904941677994621
3,8,0.304,120.67,96.0,120.0,18.22,-1.3238888710949586
3,9,0.348,144.53,120.0,144.0,18.25,-1.3694574703676996
2,6,0.3855,120.13,144.0,120.0,23.11,-0.9078518938385716
3,4,0.246,48.6,120.0,96.0,247.49,-1.7399202210696014
2,9,0.2905,72.33,96.0,72.0,17.62,-1.1920931410116966
3,9,0.141,48.0,72.0,48.0,17.01,-1.5127148734535956
2,5,0.156,24.0,48.0,24.0,18.54,-1.0488041560412538
2,4,0.25,28.13,24.0,48.0,216.9,-1.471359113813241
3,4,0.204,71.87,48.0,72.0,24.73,-1.5340742843985011
3,4,0.254,96.07,72.0,96.0,22.59,-1.0758105681365744
1,8,0.686,120.27,96.0,120.0,36.29,-0.7685000171364578
3,9,0.3416666666666667,144.6,120.0,144.0,17.01,-1.3733695469060923
3,8,0.2936666666666667,120.8,144.0,120.0,20.21,-1.331138939817604
1,7,0.55,96.13,120.0,96.0,32.48,-0.7539048593014643
1,7,0.406,72.53,96.0,72.0,20.57,-0.838800346724641
3,4,0.2153333333333333,45.73,72.0,48.0,62.71,-1.5390425007379922
2,9,0.1335,24.0,48.0,24.0,17.81,-1.304637291384356
1,6,0.365,48.0,24.0,48.0,21.13,-0.7930158140765615
2,4,0.286,71.73,48.0,72.0,57.29,-1.2301756785953912
1,9,0.617,96.13,72.0,96.0,16.78,-0.8826776630073623
1,4,0.399,46.4,96.0,120.0,323.91,-1.3393812545115733
3,8,0.3363333333333334,144.53,120.0,144.0,17.2,-1.3017987794671924
3,9,0.2936666666666667,120.4,144.0,120.0,16.78,-1.4039311455625247
2,4,0.297,38.53,120.0,96.0,307.91,-1.5457131258505072
2,5,0.3745,68.4,96.0,72.0,108.42,-1.2579859938058109
3,4,0.2343333333333333,37.4,72.0,48.0,138.74,-1.596435210894791
3,6,0.131,24.0,48.0,24.0,18.21,-1.3483721606901038
1,5,0.338,48.07,24.0,48.0,21.4,-0.7369344679518608
1,7,0.439,72.07,48.0,72.0,17.56,-0.8177749542478352
2,8,0.3655,96.4,72.0,96.0,21.62,-1.068711678380421
2,7,0.4669999999999999,120.27,96.0,120.0,27.7,-0.9304405359635961
1,9,0.805,144.6,120.0,144.0,31.39,-0.8052265358189867
2,4,0.3785,116.53,144.0,120.0,94.75,-1.1580461456475495
3,7,0.267,96.53,120.0,96.0,19.38,-1.2827505436269777
1,4,0.396,52.6,96.0,72.0,170.8,-1.126709575301132
1,5,0.335,47.73,72.0,48.0,22.55,-1.1416870543620896
2,6,0.133,24.07,48.0,24.0,15.77,-1.132278575862881
2,6,0.1689999999999999,48.4,24.0,48.0,16.02,-1.0942303260304698
3,6,0.2096666666666666,72.8,48.0,72.0,20.41,-1.2678204296638114
3,5,0.315,96.27,72.0,96.0,44.51,-1.1001170259068234
2,5,0.406,121.07,96.0,120.0,53.12,-0.8139345845609243
2,7,0.4975,145.07,120.0,144.0,25.22,-0.9125981055211221
