replica,cpu,cpu_usage,num_request,previous_tps,expected_tps,response_time,processed_rate,load_change_rate,reward
3.0,4.0,0.144,32.13,40.0,32.0,26.0,1.0,1.25,-0.7011243587068949
1.0,6.0,0.314,48.47,32.0,48.0,20.0,1.0,0.667,-0.49673052603057954
3.0,4.0,0.208,48.0,48.0,48.0,43.0,1.0,1.0,-0.6450430632844832
1.0,7.0,0.376,56.07,48.0,56.0,20.0,1.0,0.857,-0.5088272165067493
3.0,7.0,0.17,48.13,56.0,48.0,19.0,1.0,1.167,-0.7893692387091797
1.0,8.0,0.259,40.13,48.0,40.0,17.0,1.0,1.2,-0.6045749568706446
3.0,7.0,0.114,32.13,40.0,32.0,19.0,1.0,1.25,-0.8248857690614371
1.0,5.0,0.415,64.0,32.0,64.0,24.0,1.0,0.5,-0.39813110817208164
1.0,5.0,0.393,64.27,64.0,64.0,29.0,1.0,1.0,-0.4087946688666989
3.0,9.0,0.174,64.07,64.0,64.0,18.0,1.0,1.0,-0.855827761182357
1.0,5.0,0.406,64.53,64.0,64.0,38.0,1.0,1.0,-0.40243684097792953
1.0,5.0,0.426,72.2,64.0,72.0,48.0,1.0,0.889,-0.39297271718060334
3.0,5.0,0.19,64.2,72.0,64.0,34.0,1.0,1.125,-0.7046839291231815
1.0,8.0,0.327,48.07,64.0,48.0,18.0,1.0,1.333,-0.572526008598718
1.0,6.0,0.215,31.8,48.0,32.0,27.0,0.994,1.5,-1.0073414055308814
2.0,8.0,0.262,80.53,32.0,80.0,17.0,1.0,0.4,-0.667974978698936
2.0,7.0,0.274,64.33,80.0,64.0,20.0,1.0,1.25,-0.6235388847228089
3.0,9.0,0.184,64.53,64.0,64.0,18.0,1.0,1.0,-0.8508765909889195
2.0,7.0,0.24,56.0,64.0,56.0,19.0,1.0,1.143,-0.6418325162694621
2.0,4.0,0.256,24.0,56.0,56.0,294.0,0.429,1.0,-2.7648790095879083
1.0,9.0,0.254,40.0,48.0,40.0,16.0,1.0,1.2,-0.6458886659086058
1.0,6.0,0.411,64.4,40.0,64.0,24.0,1.0,0.625,-0.44864309707346295
3.0,4.0,0.219,56.33,64.0,56.0,38.0,1.0,1.143,-0.6362757570491394
2.0,8.0,0.228,56.0,56.0,56.0,20.0,1.0,1.0,-0.6849865099463477
2.0,8.0,0.206,56.0,56.0,56.0,19.0,1.0,1.0,-0.6963855552027687
2.0,9.0,0.222,56.2,56.0,56.0,21.0,1.0,1.0,-0.7255999099979089
1.0,9.0,0.283,48.0,56.0,48.0,16.0,1.0,1.167,-0.6328889388620875
1.0,6.0,0.347,48.0,48.0,48.0,18.0,1.0,1.0,-0.4794912895263972
3.0,6.0,0.248,96.2,48.0,96.0,22.0,1.0,0.5,-0.7060164440702221
2.0,6.0,0.207,64.27,96.0,64.0,20.0,1.0,1.5,-0.6244918654273489
1.0,8.0,0.367,64.13,64.0,64.0,17.0,1.0,1.0,-0.5549076888149677
3.0,4.0,0.261,56.13,64.0,64.0,115.0,0.877,1.0,-2.03099038245387
3.0,4.0,0.182,72.27,64.0,72.0,20.0,1.0,0.889,-0.6667498593211917
1.0,7.0,0.5,80.13,72.0,80.0,20.0,1.0,0.9,-0.45724837950899544
2.0,4.0,0.36,99.87,80.0,104.0,73.0,0.96,0.769,-1.6348794795628903
2.0,7.0,0.362,96.13,104.0,96.0,21.0,1.0,1.083,-0.5801177391168155
3.0,9.0,0.278,112.2,96.0,112.0,20.0,1.0,0.857,-0.8069286750426572
3.0,8.0,0.313,136.4,112.0,136.0,22.0,1.0,0.824,-0.7507316886247838
3.0,9.0,0.208,80.13,136.0,80.0,20.0,1.0,1.7,-0.8392158435085251
3.0,9.0,0.213,72.0,80.0,72.0,20.0,1.0,1.111,-0.8368254143530676
1.0,7.0,0.565,89.4,72.0,88.0,23.0,1.0,0.818,-0.433647847404402
3.0,7.0,0.231,96.33,88.0,96.0,18.0,1.0,0.917,-0.7537815869926179
1.0,8.0,0.614,104.27,96.0,104.0,27.0,1.0,0.923,-0.46362713569642067
3.0,4.0,0.256,70.73,104.0,144.0,260.0,0.491,0.722,-2.736072386889259
3.0,7.0,0.329,136.07,144.0,136.0,21.0,1.0,1.059,-0.7027205845891401
2.0,5.0,0.43,80.6,136.0,176.0,272.0,0.458,0.773,-2.640328654168813
3.0,5.0,0.292,113.73,176.0,112.0,23.0,1.0,1.571,-0.6360754945280269
2.0,6.0,0.484,126.73,112.0,128.0,68.0,0.99,0.875,-1.6418818019632495
1.0,9.0,0.669,113.27,104.0,112.0,25.0,1.0,0.929,-0.4944369281319442
3.0,5.0,0.289,88.67,112.0,88.0,34.0,1.0,1.273,-0.6379000256905689
3.0,9.0,0.24,88.33,88.0,88.0,18.0,1.0,1.0,-0.8241440910845479
1.0,6.0,0.6,91.13,88.0,112.0,154.0,0.814,0.786,-1.7781274398174798
1.0,8.0,0.673,104.07,112.0,104.0,31.0,1.0,1.077,-0.44568602618993447
1.0,4.0,0.402,22.67,104.0,104.0,571.0,0.218,1.0,-3.17736652598546
3.0,4.0,0.288,120.13,104.0,120.0,41.0,1.0,0.867,-0.586454145313392
3.0,9.0,0.322,128.73,120.0,128.0,19.0,1.0,0.938,-0.7878822677485311
3.0,7.0,0.223,88.6,128.0,88.0,18.0,1.0,1.455,-0.7582740374019548
1.0,4.0,0.4,63.27,88.0,88.0,172.0,0.719,1.0,-1.867694198448721
1.0,5.0,0.497,76.67,88.0,160.0,264.0,0.479,0.55,-2.5094506610186227
3.0,8.0,0.355,144.8,160.0,144.0,20.0,1.0,1.111,-0.7319291837632584
2.0,9.0,0.562,152.53,144.0,152.0,22.0,1.0,0.947,-0.5919462120448005
1.0,6.0,0.6,95.0,152.0,160.0,211.0,0.594,0.95,-2.0924729901131736
2.0,9.0,0.684,206.13,160.0,208.0,25.0,0.991,0.769,-1.009099787695392
2.0,8.0,0.38,128.2,208.0,128.0,18.0,1.0,1.625,-0.6142409431704545
3.0,5.0,0.314,96.4,128.0,96.0,22.0,1.0,1.333,-0.6230249170125448
1.0,6.0,0.598,98.73,96.0,128.0,160.0,0.771,0.75,-2.022718133139963
1.0,4.0,0.399,55.73,128.0,112.0,250.0,0.498,1.143,-2.4465170792656976
1.0,7.0,0.662,113.07,112.0,112.0,61.0,1.0,1.0,-1.0702505727096834
1.0,6.0,0.6,100.4,112.0,144.0,179.0,0.697,0.778,-1.9279910606329
1.0,6.0,0.598,103.53,144.0,136.0,164.0,0.761,1.059,-2.041886786461948
3.0,5.0,0.386,121.13,136.0,136.0,104.0,0.891,1.0,-1.9583159892520463
1.0,4.0,0.398,43.33,136.0,144.0,431.0,0.301,0.944,-3.03196040639351
1.0,8.0,0.798,143.6,144.0,144.0,95.0,0.997,1.0,-1.6966437972875763
2.0,8.0,0.459,129.07,144.0,128.0,22.0,1.0,1.125,-0.5824498941303448
3.0,8.0,0.362,152.73,128.0,152.0,18.0,1.0,0.842,-0.7288902887160376
1.0,7.0,0.694,113.53,152.0,248.0,271.0,0.458,0.613,-2.5746977930320574
3.0,6.0,0.436,172.67,248.0,216.0,145.0,0.799,1.148,-2.1891310092265894
1.0,8.0,0.798,129.4,216.0,232.0,224.0,0.558,0.931,-2.3921147474614606
3.0,5.0,0.351,111.87,232.0,216.0,239.0,0.518,1.074,-2.653296227588079
3.0,6.0,0.416,151.8,216.0,152.0,37.0,0.999,1.421,-1.0687895935518603
3.0,9.0,0.365,153.4,152.0,152.0,22.0,1.0,1.0,-0.770147071325499
3.0,7.0,0.301,120.87,152.0,120.0,19.0,1.0,1.267,-0.716587533152177
2.0,6.0,0.421,73.07,120.0,152.0,260.0,0.481,0.789,-2.6444319613831415
1.0,8.0,0.796,140.0,152.0,144.0,119.0,0.972,1.056,-1.8079445364300992
3.0,5.0,0.359,111.67,144.0,144.0,151.0,0.775,1.0,-2.2122991033510915
1.0,8.0,0.753,136.67,144.0,136.0,29.0,1.0,1.059,-0.42337906243991097
1.0,4.0,0.399,51.2,136.0,144.0,354.0,0.356,0.944,-2.816899345892995
1.0,4.0,0.398,65.87,144.0,120.0,229.0,0.549,1.2,-2.3517664035452897
1.0,9.0,0.704,120.53,120.0,120.0,33.0,1.0,1.0,-0.4845762405511419
2.0,7.0,0.597,152.93,120.0,152.0,34.0,1.0,0.789,-0.48768195788712476
1.0,4.0,0.399,32.47,152.0,184.0,706.0,0.176,0.826,-3.648351137696967
2.0,4.0,0.306,50.27,184.0,216.0,536.0,0.233,0.852,-3.417191769602367
1.0,4.0,0.399,60.33,216.0,232.0,475.0,0.26,0.931,-3.157649265079327
2.0,9.0,0.663,150.33,232.0,240.0,195.0,0.626,0.967,-2.4092046332039714
1.0,4.0,0.401,42.47,240.0,152.0,454.0,0.279,1.579,-2.897390234554847
3.0,6.0,0.31,120.2,152.0,120.0,26.0,1.0,1.267,-0.670713478736384
2.0,9.0,0.609,170.13,120.0,168.0,26.0,1.0,0.714,-0.5771313883799164
2.0,7.0,0.507,144.93,168.0,144.0,38.0,1.0,1.167,-0.5194723450596861
2.0,9.0,0.49,136.2,144.0,136.0,23.0,1.0,1.059,-0.6161960741319927
3.0,4.0,0.25,69.07,136.0,136.0,241.0,0.508,1.0,-2.676672899128245
1.0,4.0,0.4,58.6,136.0,144.0,307.0,0.407,0.944,-2.46283389998162
1.0,5.0,0.498,79.27,144.0,112.0,178.0,0.708,1.286,-2.1056807028826285
1.0,4.0,0.4,37.93,112.0,112.0,374.0,0.339,1.0,-2.675837013448927
1.0,9.0,0.878,153.2,112.0,152.0,58.0,1.0,0.737,-1.0922176117569298
2.0,7.0,0.587,154.47,152.0,152.0,36.0,1.0,1.0,-0.49101576971428273
3.0,8.0,0.382,152.6,152.0,152.0,19.0,1.0,1.0,-0.7203528251790396
2.0,6.0,0.439,73.33,152.0,152.0,257.0,0.482,1.0,-2.6271947736387324
2.0,4.0,0.325,52.27,152.0,144.0,340.0,0.363,1.056,-2.8840304221022475
2.0,8.0,0.454,120.87,144.0,120.0,22.0,1.0,1.2,-0.5843702685531745
1.0,4.0,0.399,54.4,120.0,112.0,259.0,0.486,1.071,-2.4795275478808256
2.0,5.0,0.212,40.2,112.0,40.0,23.0,1.0,2.8,-0.5817239742385171
3.0,8.0,0.141,32.07,40.0,32.0,19.0,1.0,1.25,-0.8389112685404123
1.0,9.0,0.315,48.27,32.0,48.0,18.0,1.0,0.667,-0.6190222572257316
3.0,8.0,0.17,48.0,48.0,48.0,20.0,1.0,1.0,-0.8226841922844683
3.0,9.0,0.159,56.0,48.0,56.0,18.0,1.0,0.857,-0.863358433916714
3.0,4.0,0.198,48.6,56.0,48.0,43.0,1.0,1.167,-0.6532252869380747
3.0,5.0,0.163,40.47,48.0,40.0,21.0,1.0,1.2,-0.7253123056905346
3.0,5.0,0.107,32.6,40.0,32.0,21.0,1.0,1.25,-0.7718184096024956
1.0,9.0,0.417,64.13,32.0,64.0,19.0,1.0,0.5,-0.5779733638426626
2.0,7.0,0.251,64.33,64.0,64.0,20.0,1.0,1.0,-0.6358164818516133
2.0,9.0,0.264,64.13,64.0,64.0,19.0,1.0,1.0,-0.7062307335311624
1.0,6.0,0.447,64.13,64.0,64.0,24.0,1.0,1.0,-0.4326835590566416
1.0,7.0,0.478,72.33,64.0,72.0,19.0,1.0,0.889,-0.46574568585170883
1.0,6.0,0.56,63.93,72.0,64.0,48.0,0.999,1.125,-0.8388716254178401
3.0,6.0,0.156,48.13,64.0,48.0,19.0,1.0,1.333,-0.765606520626841
3.0,8.0,0.12,32.0,48.0,32.0,20.0,1.0,1.5,-0.851034599655726
2.0,6.0,0.324,80.53,32.0,80.0,21.0,1.0,0.4,-0.5562781589509728
2.0,7.0,0.254,64.07,80.0,64.0,20.0,1.0,1.25,-0.6341920862652085
2.0,4.0,0.302,31.33,64.0,64.0,254.0,0.49,1.0,-2.5832053899365346
3.0,4.0,0.211,56.27,64.0,56.0,25.0,1.0,1.143,-0.6426280194162075
2.0,6.0,0.252,56.73,56.0,56.0,24.0,1.0,1.0,-0.596671048102091
2.0,6.0,0.207,47.93,56.0,48.0,22.0,0.999,1.167,-1.075148443956786
1.0,8.0,0.294,40.0,48.0,40.0,17.0,1.0,1.2,-0.58773914205227
3.0,5.0,0.212,64.2,40.0,64.0,26.0,1.0,0.625,-0.6886800300144087
1.0,4.0,0.39,53.07,64.0,56.0,85.0,0.948,1.143,-1.6177544677804396
3.0,7.0,0.176,56.13,56.0,56.0,21.0,1.0,1.0,-0.7857297008755206
3.0,6.0,0.18,55.93,56.0,56.0,21.0,0.999,1.0,-1.1997328109310936
2.0,6.0,0.192,48.33,56.0,48.0,20.0,1.0,1.167,-0.6342389083981659
3.0,6.0,0.134,48.2,48.0,48.0,22.0,1.0,1.0,-0.7812619771510827
3.0,4.0,0.264,63.47,48.0,96.0,185.0,0.661,0.5,-2.397613257882737
1.0,6.0,0.464,64.13,96.0,64.0,32.0,1.0,1.5,-0.4254735670865951
1.0,8.0,0.554,65.2,64.0,64.0,32.0,1.0,1.0,-0.4832812081250155
2.0,8.0,0.259,64.0,64.0,64.0,19.0,1.0,1.0,-0.6694470839406574
2.0,9.0,0.27,72.33,64.0,72.0,19.0,1.0,0.889,-0.7035367599870604
1.0,6.0,0.495,80.4,72.0,80.0,26.0,1.0,0.9,-0.4128404782045352
3.0,8.0,0.259,104.27,80.0,104.0,17.0,1.0,0.769,-0.7764031397165492
2.0,5.0,0.328,45.53,104.0,96.0,262.0,0.474,1.083,-2.65369501050062
1.0,6.0,0.598,100.8,96.0,112.0,136.0,0.9,0.857,-1.8699938206199933
3.0,9.0,0.318,136.67,112.0,136.0,20.0,1.0,0.824,-0.7895755388680965
2.0,7.0,0.31,80.13,136.0,80.0,23.0,1.0,1.7,-0.605113610623188
2.0,5.0,0.361,71.87,80.0,72.0,38.0,0.998,1.111,-0.9408529387299286
2.0,8.0,0.345,88.2,72.0,88.0,20.0,1.0,0.818,-0.629360793195166
3.0,4.0,0.252,56.4,88.0,96.0,211.0,0.588,0.917,-2.5334921450480765
3.0,7.0,0.272,104.47,96.0,104.0,21.0,1.0,0.923,-0.7315466159414314
3.0,4.0,0.276,77.87,104.0,144.0,233.0,0.541,0.722,-2.6123154223852008
2.0,8.0,0.517,136.33,144.0,136.0,21.0,1.0,1.059,-0.5610289819352678
1.0,8.0,0.796,134.87,136.0,176.0,163.0,0.766,0.773,-2.0726809371368917
2.0,6.0,0.438,93.93,176.0,112.0,137.0,0.839,1.571,-2.0313118349789665
3.0,8.0,0.318,128.13,112.0,128.0,18.0,1.0,0.875,-0.7484411885226889
3.0,5.0,0.308,102.73,128.0,104.0,31.0,0.988,1.231,-1.082056501011607
1.0,9.0,0.646,112.73,104.0,112.0,26.0,1.0,0.929,-0.5011287654665172
3.0,8.0,0.218,88.2,112.0,88.0,18.0,1.0,1.273,-0.7970851063467992
1.0,6.0,0.598,84.73,88.0,88.0,78.0,0.963,1.0,-1.5976493256687685
1.0,8.0,0.679,112.2,88.0,112.0,63.0,1.0,0.786,-1.1227842211952026
2.0,5.0,0.368,85.87,112.0,104.0,141.0,0.826,1.077,-2.0376451625370744
1.0,6.0,0.595,99.73,104.0,104.0,119.0,0.959,1.0,-1.7781151591174618
1.0,6.0,0.598,103.87,104.0,120.0,144.0,0.866,0.867,-1.9163246405040857
