replica,cpu,cpu_usage,memory_usage,num_request,previous_tps,expected_tps,response_time,avg_num_request,avg_cpu_usage,avg_response_time
2,4,0.144,0.9005000000000001,24.4,0.0,24,36.71,24.086666666666662,0.14399999999999996,30.689999999999998
3,6,0.095,0.7563333333333334,24.0,24.0,24,18.28,24.0,0.10653333333333329,19.968
2,5,0.1445,0.7275,32.13,24.0,32,21.42,32.075,0.16234375,23.2375
1,6,0.247,0.66,32.2,32.0,32,15.73,32.12357142857143,0.25192857142857145,23.30785714285714
3,7,0.14,0.6836666666666668,40.33,32.0,40,17.19,40.141666666666666,0.14252777777777775,19.569166666666668
2,8,0.143,0.7284999999999999,32.0,40.0,32,20.47,32.13357142857143,0.15203571428571427,18.884999999999998
2,8,0.1365,0.743,32.27,32.0,32,16.18,32.13357142857143,0.15203571428571427,18.884999999999998
3,9,0.1056666666666666,0.7066666666666667,24.2,32.0,24,16.34,24.124285714285715,0.0985238095238095,17.254285714285714
1,6,0.254,0.722,40.0,24.0,40,16.0,40.13272727272727,0.2704090909090909,22.521818181818183
2,8,0.153,0.702,40.27,40.0,40,16.54,40.092800000000004,0.17959999999999998,19.0432
2,9,0.154,0.7025,40.33,40.0,40,16.73,40.1192,0.16872,18.2656
2,7,0.1485,0.756,40.0,40.0,40,16.9,40.117826086956526,0.17710869565217388,19.533478260869565
1,5,0.303,0.826,47.93,40.0,48,25.25,48.16307692307692,0.31769230769230766,27.462307692307693
2,8,0.16,0.724,40.0,48.0,40,16.45,40.092800000000004,0.17959999999999998,19.0432
2,7,0.147,0.8180000000000001,32.0,40.0,32,19.56,32.06391304347826,0.1603478260869565,19.895217391304346
1,9,0.142,0.694,24.07,32.0,24,14.18,24.055833333333336,0.17166666666666666,18.0575
1,6,0.329,0.675,56.0,24.0,56,25.25,56.15,0.354,25.580000000000002
2,5,0.1755,0.7995,48.47,56.0,48,21.83,48.142,0.23326666666666665,27.346
2,5,0.1435,0.804,40.67,48.0,40,17.94,40.13125,0.18704166666666666,23.881249999999998
2,4,0.18,0.761,40.2,40.0,40,23.68,34.1975,0.21824999999999997,97.10625
3,8,0.1286666666666666,0.794,40.13,40.0,40,17.61,40.06142857142857,0.13935714285714282,19.598214285714285
3,4,0.121,0.806,32.0,40.0,32,26.03,32.08705882352941,0.14884313725490192,29.42705882352941
1,5,0.198,0.721,32.13,32.0,32,18.51,32.081538461538464,0.2426923076923077,25.483076923076922
3,8,0.1153333333333333,0.7033333333333333,40.27,32.0,40,15.7,40.06142857142857,0.13935714285714282,19.598214285714285
